Model,Pre-DP,Laplace,Duchi,Piecewise
ANN,0.7849,0.7959,0.6952,0.6552
Random Forest,0.8852,0.7644,0.4319,0.7979
KNN,0.8555,0.7425,0.4445,0.7619
SVM,0.8,0.7612,0.0157,0.4291
Naïve Bayes,0.1371,0.1581,0.7069,0.7817
XGBoost,0.8196,0.8235,0.1454,0.7168
